 +--------------------------------------------------------------------------------------------------------+
 | Location                                        |   Total  |       Mean      |   rms   |  min |   max  |
 | *Raw/Prs/Digits                                 |    46747 |   467.5+-18.3   | 183.4   |  117 | 1157   |
 | *Raw/Spd/Digits                                 |    29494 |   294.9+-11.5   | 115.1   |   76 | 694    |
 | *Rec/Calo/EcalClusters                          |     8879 |    88.8+-3.2    | 32.1    |   26 | 209    |
 | *Rec/Calo/EcalSplitClusters                     |      398 |     5.1+-0.5    | 4.0     |    0 | 20     |
 | *Rec/Calo/Electrons                             |     3011 |    30.1+-1.9    | 19.0    |    1 | 118    |
 | *Rec/Calo/MergedPi0s                            |      206 |     2.6+-0.2    | 2.0     |    1 | 10     |
 | *Rec/Calo/Photons                               |     5306 |    53.1+-1.8    | 17.7    |   17 | 108    |
 | *Rec/Calo/SplitPhotons                          |      412 |     5.3+-0.5    | 4.0     |    2 | 20     |
 | *Rec/Track/Best                                 |    18333 |   183.3+-10.1   | 101.5   |   36 | 637    |
 | *Rec/Track/Muon                                 |      492 |     5.4+-0.6    | 5.3     |    1 | 28     |
 +--------------------------------------------------------------------------------------------------------+
   Analysed 99 events
